filename,width,height,version
01_cosmic_starchild_hooded.png,2866,1925,兜帽版
01_cosmic_starchild_regular.png,5320,3616,一般版
02_elderwood_sovereign_hooded.png,1000,562,兜帽版
02_elderwood_sovereign_regular.png,1000,562,一般版
03_holy_lucete_hooded.png,1000,562,兜帽版
03_holy_lucete_regular.png,1000,562,一般版
04_frost_haven_hooded.png,1000,562,兜帽版
04_frost_haven_regular.png,1000,562,一般版
05_sunlit_serenia_hooded.png,1000,701,兜帽版
05_sunlit_serenia_regular.png,1000,701,一般版
06_mirage_caldrea_hooded.png,1000,812,兜帽版
06_mirage_caldrea_regular.png,1000,847,一般版
